distance,value
1.00,498                                                                                    
1.50,510                                                                                    
2.00,507                                                                                    
2.50,511
3.00,521
3.50,539
4.00,549
4.50,551
5.00,561
5.50,585
6.00,611
6.50,697
6.00,602
5.50,578
5.00,565
4.50,548
4.00,528
3.50,536
3.00,511
2.50,510
2.00,511
1.50,504
1.00,490
0.50,485
0.00,482
0.50,499
0.00,492
0.50,474
1.00,500
1.50,488
2.00,494
2.50,507
3.00,511
3.50,512
4.00,522
4.50,544
5.00,557
5.50,561
6.00,593
6.50,658
7.00,817
7.50,1007
8.00,1144
8.50,1390
9.00,1402
9.50,1507
10.00,1589
